longname,LICO-AT %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Division No. 9, Newfoundland and Labrador, Canada",0.012939001848428831,0.3433609958506226,0.3869294605809127,0.26970954356846466,0.7533440342429107,0.19957196361690735,0.047084002140181866
"Les Sources CRM, Quebec, Canada",0.02942231790455686,0.4454477050413841,0.36343115124153547,0.19112114371708055,0.7449605609114808,0.22392638036809856,0.031113058720420687
"Division No. 8, Manitoba, Canada",0.03711558854718993,0.33057851239669434,0.3884297520661154,0.2809917355371904,0.7155705452501405,0.24002248454187758,0.04440697020798193
"Manitoulin District, Ontario, Canada",0.033788396509625826,0.3657496110701713,0.3645951035781544,0.2696552853516744,0.6831099909991002,0.2582379837983794,0.05865202520252026
"Division No. 3, Newfoundland and Labrador, Canada",0.02284626368396003,0.3809055118110236,0.3602362204724409,0.2588582677165354,0.7400302877334679,0.2190812720848057,0.04088844018172641
"Shelburne County, Nova Scotia, Canada",0.0335044222769524,0.3886630200575722,0.36082209118031505,0.25051488876211275,0.6989117637419588,0.25196686984486955,0.04912136641317164
"Avignon CRM, Quebec, Canada",0.018112889637742196,0.39005897219882074,0.3563605728727885,0.2535804549283909,0.6933270231897775,0.2602934216753432,0.046379555134879284
"Charlevoix CRM, Quebec, Canada",0.017753763025858748,0.3528455284552844,0.35121951219512215,0.29593495934959346,0.6627539503386003,0.2871331828442439,0.050112866817155766
"Division No. 5, Manitoba, Canada",0.03037667071688935,0.3082706766917291,0.3731203007518799,0.31860902255639095,0.634403209628888,0.3059177532597783,0.05967903711133372
"Division No. 18, Alberta, Canada",0.030997304582210228,0.21855010660980795,0.3049040511727075,0.47654584221748447,0.5614973262032085,0.2925133689839574,0.1459893048128342
"Division No. 10, Manitoba, Canada",0.013215859030837017,0.07632600258732203,0.2677878395860287,0.6558861578266493,0.47211040828062156,0.3565267395054624,0.1713628522139161
"Mékinac CRM, Quebec, Canada",0.02581967213114753,0.4496373892022563,0.3481063658340046,0.20225624496373903,0.7214117647058821,0.2409411764705885,0.037647058823529436
"Communauté maritime des Îles-de-la-Madeleine Territory, Quebec, Canada",0.006418554010732158,0.3219028098656492,0.32537644639813873,0.3527207437362121,0.6560071939865784,0.2770369539544429,0.06695585205897872
"Division No. 3, Saskatchewan, Canada",0.035393555203380965,0.30873308733087357,0.35916359163591627,0.33210332103321016,0.6298487836949376,0.2840236686390531,0.08612754766600927
"Kivalliq Region, Nunavut, Canada",,0.16472868217054262,0.2500000000000001,0.5852713178294574,0.6205128205128205,0.20439560439560434,0.1750915750915751
"La Haute-Gaspésie CRM, Quebec, Canada",0.02491280518186348,0.46092184368737454,0.3476953907815632,0.19138276553106218,0.7543352601156067,0.21387283236994234,0.03179190751445087
"Division No. 4, Saskatchewan, Canada",0.039307128580946045,0.31750741839762625,0.3753709198813057,0.3071216617210679,0.6452674897119345,0.2798353909465016,0.07489711934156384
"Queens County, New Brunswick, Canada",0.03309439290083564,0.40610594896736957,0.3734952149347272,0.2203988360979033,0.7231667694710495,0.2375599100220979,0.0392733205068525
"Queens County, Nova Scotia, Canada",0.04388602884958456,0.4334239314158993,0.36831501088529206,0.1982610576988088,0.7555312621569583,0.20497555066404702,0.03949318717899473
"La Haute-Côte-Nord CRM, Quebec, Canada",0.021927587965323823,0.3941236068895644,0.3495440729483282,0.2563323201621074,0.6852704257767551,0.26582278481012644,0.04890678941311851
"Division No. 16, Manitoba, Canada",0.03935483870967739,0.37078651685393305,0.3395755305867665,0.2896379525593005,0.6805460750853237,0.23959044368600715,0.07986348122866908
"Division No. 6, Manitoba, Canada",0.027305825242718417,0.32000000000000056,0.35096774193548314,0.3290322580645164,0.6484641638225259,0.27781569965870295,0.07372013651877113
"Mount Waddington Regional district, British Columbia, Canada",0.03824451410658306,0.3324432576769025,0.33377837116154857,0.3337783711615489,0.6192223037417462,0.2964049889948642,0.0843727072633896
"Division No. 4, Manitoba, Canada",0.029463759575721803,0.3223021582733815,0.3841726618705029,0.29352517985611554,0.6778774289985059,0.27204783258594856,0.050074738415545494
"Division No. 20, Manitoba, Canada",0.0397953382603752,0.36170212765957405,0.3404255319148935,0.2978723404255325,0.6688264938804889,0.2721382289416853,0.059035277177825814
"Minganie--Le Golfe-du-Saint-Laurent CDR, Quebec, Canada",0.00883932342028578,0.23116902361253372,0.3362486885758326,0.43258228781163355,0.5819432161612058,0.3231312778733549,0.0949255059654394
"Division No. 4, Alberta, Canada",0.035309793471019195,0.2520193861066243,0.3489499192245556,0.3990306946688202,0.6013513513513525,0.2913851351351341,0.10726351351351333
"Les Basques CRM, Quebec, Canada",0.021276595744680847,0.44540942928039695,0.35980148883374696,0.19478908188585603,0.7455452601568069,0.2202423378474696,0.03421240199572345
"Richmond County, Nova Scotia, Canada",0.0319985350938216,0.39679158893732247,0.3567909965625322,0.24641741450014534,0.7338836011895019,0.21755017046294772,0.04856622834755039
"Victoria County, Nova Scotia, Canada",0.021886792452830206,0.33592534992223955,0.37325038880248823,0.2908242612752722,0.7032151690024732,0.24896949711459185,0.04781533388293485
"Guysborough County, Nova Scotia, Canada",0.030833210574624088,0.4355720626741531,0.34332161810213285,0.22110631922371407,0.7424203127836712,0.21512306455377747,0.04245662266255153
"L'Île-d'Orléans CRM, Quebec, Canada",0.01117074362284957,0.23094694836128948,0.32830057185408645,0.440752479784624,0.5494504046615961,0.3406288806832967,0.10992071465510712
"Kitikmeot Region, Nunavut, Canada",,0.18827160493827164,0.2777777777777777,0.5339506172839507,0.6609963547995139,0.17861482381530985,0.16038882138517618
"Region 5 Region, Northwest Territories, Canada",,0.1434977578475336,0.22421524663677128,0.6322869955156951,0.4460887949260041,0.3054968287526428,0.2484143763213531
"Region 1 Region, Northwest Territories, Canada",,0.217391304347826,0.25575447570332493,0.5268542199488491,0.558252427184466,0.22694174757281554,0.2148058252427184
"Division No. 23, Manitoba, Canada",0.03298969072164949,0.22357723577235777,0.3455284552845529,0.43089430894308933,0.6432532347504624,0.23475046210720876,0.12199630314232907
"Northern Rockies Regional district, British Columbia, Canada",0.03366058906030856,0.24316109422492405,0.33434650455927045,0.42249240121580545,0.5629032258064516,0.28709677419354845,0.15
"Central Coast Regional district, British Columbia, Canada",0.04285714285714286,0.3999999999999999,0.3744680851063831,0.225531914893617,0.7867494824016563,0.17184265010351968,0.04140786749482401
"Region 4 Region, Northwest Territories, Canada",,0.25,0.3055555555555556,0.44444444444444453,0.6185567010309277,0.22164948453608257,0.15979381443298962
"Region 3 Region, Northwest Territories, Canada",,0.1532258064516129,0.23387096774193544,0.6129032258064516,0.638121546961326,0.2265193370165746,0.13535911602209952
"Division No. 11, Newfoundland and Labrador, Canada",0.02891566265060241,0.3000000000000001,0.3428571428571429,0.3571428571428571,0.687719298245614,0.2596491228070175,0.05263157894736842
"Region 2 Region, Northwest Territories, Canada",,0.18543046357615894,0.2119205298013245,0.6026490066225166,0.5676470588235295,0.1999999999999999,0.2323529411764706
"Stikine Region, British Columbia, Canada",,,,,,,
