longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"Edinburg Consolidated Independent School District, Texas, USA",0.6801031832136839,1.0
"Carroll County Public Schools, Maryland, USA",0.6009624561139678,1.0
"Cajon Valley Union Elementary School District, California, USA",0.9314849016260683,1.0
"Alamance-Burlington Schools, North Carolina, USA",0.5316523667775638,1.0
"Escondido Union Elementary School District, California, USA",0.9836334452064789,1.0
"Aiken County School District, South Carolina, USA",0.589289051913462,1.0
"Santa Clara Unified School District, California, USA",0.9902166849140227,1.0
"Pflugerville Independent School District, Texas, USA",0.7869053198968831,1.0
"Pitt County Schools, North Carolina, USA",0.7012329434984111,1.0
"Onslow County Schools, North Carolina, USA",0.44860208482683245,1.0
"Pomona Unified School District, California, USA",1.0,1.0
"Paulding County School District, Georgia, USA",0.6978495324941747,1.0
"Amarillo Independent School District, Texas, USA",0.8837033689693309,1.0
"El Monte Union High School District, California, USA",1.0,1.0
"Ontario-Montclair School District, California, USA",1.0,1.0
"Eugene School District 4J, Oregon, USA",0.9811849071536926,1.0
"Charles County Public Schools, Maryland, USA",0.4516705978381558,1.0
"Glenbard Township High School District 87, Illinois, USA",1.0,1.0
"Placentia-Yorba Linda Unified School District, California, USA",0.9713917868497721,1.0
"Ector County Independent School District, Texas, USA",0.7683612740735359,1.0
"Edmond Public Schools, Oklahoma, USA",0.9647201430346374,1.0
"Vancouver Public Schools, Washington, USA",1.0,1.0
"Olathe Unified School District 233, Kansas, USA",1.0,1.0
"South Bend Community School Corporation, Indiana, USA",0.9768646472041731,1.0
"Houston County School District, Georgia, USA",0.9331157639983866,1.0
"San Ramon Valley Unified School District, California, USA",0.9989237053888115,1.0
"Rosemount-Apple Valley-Eagan, Minnesota, USA",0.6488581000650411,1.0
"Sioux Falls School District 49-5, South Dakota, USA",0.996548393249371,1.0
"Temecula Valley Unified School District, California, USA",0.9798090024105893,1.0
"Agua Fria Union High School District, Arizona, USA",0.8931176187479175,1.0
"Hurst-Euless-Bedford Independent School District, Texas, USA",1.0,1.0
"J. Sterling Morton High School District 201, Illinois, USA",1.0,1.0
"Comal Independent School District, Texas, USA",0.6001827437671322,1.0
"Visalia Unified School District, California, USA",0.9835680458624128,1.0
"Tempe School District, Arizona, USA",1.0,1.0
"Kyrene Elementary District, Arizona, USA",0.8378721223785838,1.0
"Montebello Unified School District, California, USA",1.0,1.0
"Indian River County School District, Florida, USA",0.7905912834505721,1.0
"Paterson City School District, New Jersey, USA",1.0,1.0
"Las Cruces Public Schools, New Mexico, USA",0.9071825903931444,1.0
"Alexandria City Public Schools, Virginia, USA",1.0,1.0
"Midland Independent School District, Texas, USA",0.9730956341608864,1.0
"Consolidated High School District 230, Illinois, USA",0.993122032109746,1.0
"Martin County School District, Florida, USA",0.9071961926643144,1.0
"Compton Unified School District, California, USA",1.0,1.0
"Hall County School District, Georgia, USA",0.36324759209674756,1.0
"Bibb County School District, Georgia, USA",0.847946563624115,1.0
"Evergreen School District (Clark), Washington, USA",0.9858896095637797,1.0
"Santa Maria Joint Union High School District, California, USA",0.8878939552983948,1.0
"Columbia County School District, Georgia, USA",0.6139157746298314,1.0
"Springfield School District, Massachusetts, USA",1.0,1.0
"Stafford County Public Schools, Virginia, USA",0.8680634675420811,1.0
"Osseo Public School District, Minnesota, USA",0.9995351779880954,1.0
"Washington County Public Schools, Maryland, USA",0.7960505478168126,1.0
"Columbia 93 School District, Missouri, USA",0.9610564387248717,1.0
"Perris Union High School District (9-12), California, USA",0.9894595244438957,1.0
"Citrus County School District, Florida, USA",0.3523267226978153,1.0
"Vista Unified School District, California, USA",0.9974843751018306,1.0
"Rutherford County School District in Murfreesboro, Tennessee, USA",1.0,1.0
"Murfreesboro City School District, Tennessee, USA",1.0,1.0
"Mesa County Valley School District 51, Colorado, USA",0.9350856963153205,1.0
"Richland School District 2, South Carolina, USA",0.769381998461407,1.0
"Iredell-Statesville Schools, North Carolina, USA",0.7012667228484146,1.0
"Northshore School District, Washington, USA",0.8688659247482777,1.0
"Maine Township High School District 207, Illinois, USA",1.0,1.0
"Hemet Unified School District, California, USA",0.88980688698621,1.0
"Jackson Public School District, Mississippi, USA",0.9991121495327103,1.0
"Nebo School District, Utah, USA",0.7047012208181623,1.0
"Bellevue School District, Washington, USA",1.0,1.0
"Bridgeport School District, Connecticut, USA",1.0,1.0
"Syracuse City School District, New York, USA",1.0,1.0
"Moore Public Schools, Oklahoma, USA",0.9788855673157201,1.0
"Everett School District, Washington, USA",0.6356148859673383,1.0
"Dayton City School District, Ohio, USA",1.0,1.0
"Centinela Valley Union High School District, California, USA",1.0,1.0
"South-Western City School District, Ohio, USA",0.8759268547261119,1.0
"El Dorado Union High School District, California, USA",0.5342782387072285,1.0
"Judson Independent School District, Texas, USA",1.0,1.0
"Federal Way School District, Washington, USA",1.0,1.0
"Amphitheater Unified District, Arizona, USA",1.0,1.0
"Torrance Unified School District, California, USA",1.0,1.0
"Lexington School District 1, South Carolina, USA",0.3190237524515145,1.0
"Coweta County School District, Georgia, USA",0.6243106774860083,1.0
"Parkway C-2 School District, Missouri, USA",1.0,1.0
"Lenape Regional School District, New Jersey, USA",0.8405761197932795,1.0
"Dorchester School District 2, South Carolina, USA",0.9752432997921456,1.0
"Douglas County School District, Georgia, USA",0.9531950886388375,1.0
"Panama-Buena Vista School District, California, USA",0.9995349063218032,1.0
"Cupertino Union Elementary School District, California, USA",0.9995832146652867,1.0
"Palmdale Elementary School District, California, USA",0.834936165468027,1.0
"Jefferson Union High School District, California, USA",1.0,1.0
"Tustin Unified School District, California, USA",1.0,1.0
"Birdville Independent School District, Texas, USA",1.0,1.0
"Livingston Parish School District, Louisiana, USA",0.6636538704825627,1.0
"Fairfield-Suisun Unified School District, California, USA",0.9139401206051416,1.0
"Hillsboro School District 1J, Oregon, USA",0.9679864967412041,1.0
"Green Bay Area School District, Wisconsin, USA",0.9953621044095575,1.0
"San Mateo-Foster City Elementary School District, California, USA",1.0,1.0
"North Kansas City 74 School District, Missouri, USA",1.0,1.0
"Racine School District, Wisconsin, USA",0.9991654659838228,1.0
"Spotsylvania County Public Schools, Virginia, USA",0.7096776496626567,1.0
"Red Clay Consolidated School District, Delaware, USA",0.9696053844340128,1.0
"Puyallup School District, Washington, USA",0.9609340945956568,1.0
"Manteca Unified School District, California, USA",0.9962358485144532,1.0
"Highline School District, Washington, USA",1.0,1.0
"Folsom-Cordova Unified School District, California, USA",0.9999927818680525,1.0
"Rowan-Salisbury Schools, North Carolina, USA",0.5084296515164682,1.0
"La Mesa-Spring Valley School District, California, USA",1.0,1.0
"Elizabeth City School District, New Jersey, USA",1.0,1.0
"Schaumburg Community Consolidated School District 54, Illinois, USA",1.0,1.0
"Hampton City Public Schools, Virginia, USA",1.0,1.0
"Brunswick County Schools, North Carolina, USA",0.6314695246043249,1.0
"Shelby County School District, Alabama, USA",0.5059760080851874,1.0
"Bend-La Pine Administrative School District 1, Oregon, USA",0.8084726148798101,1.0
"Lake Elsinore Unified School District, California, USA",0.46630431597761435,1.0
"Oceanside Unified School District, California, USA",0.9489083290450636,1.0
"Conejo Valley Unified School District, California, USA",0.9986067084408404,1.0
"Indian Prairie Community Unit School District 204, Illinois, USA",1.0,1.0
"Rochester Public School District, Minnesota, USA",0.9641666666666666,1.0
"Stamford School District, Connecticut, USA",0.9903953342438448,1.0
"East Ramapo Central School District (Spring Valley), New York, USA",1.0,1.0
"Lakewood Township School District, New Jersey, USA",1.0,1.0
"McKinney Independent School District, Texas, USA",0.9849803190387404,1.0
"New Haven School District, Connecticut, USA",1.0,1.0
"Billings High School District, Montana, USA",0.9750067246480768,1.0
"Harnett County Schools, North Carolina, USA",0.2043977599425012,1.0
"Blue Valley Unified School District 229, Kansas, USA",0.9637034205140891,1.0
"Tangipahoa Parish School District, Louisiana, USA",0.8511606599728141,1.0
"Davidson County Schools, North Carolina, USA",0.5466900317383914,1.0
"Pharr-San Juan-Alamo Independent School District, Texas, USA",0.9998796368040562,1.0
"Redlands Unified School District, California, USA",0.9842694928084784,1.0
"Madison County School District, Alabama, USA",0.2893290996309404,1.0
"Pulaski County Special School District, Arkansas, USA",0.8256614660441104,1.0
"Pickens County School District, South Carolina, USA",0.5792213326839366,1.0
"Alvin Independent School District, Texas, USA",0.4800085443351821,1.0
"Renton School District, Washington, USA",1.0,1.0
"Plymouth-Canton Community Schools, Michigan, USA",0.7558632034498928,1.0
"Rapides Parish School District, Louisiana, USA",0.7083669812263984,1.0
"Rankin County School District, Mississippi, USA",0.6648986127577022,1.0
"Greeley School District 6, Colorado, USA",0.9992449050352507,1.0
"Sumter County School District, Florida, USA",0.6747795795055183,1.0
"Simi Valley Unified School District, California, USA",1.0,1.0
"Vallejo City Unified School District, California, USA",1.0,1.0
"Kenosha School District, Wisconsin, USA",0.9974861934006776,1.0
"Northwest Independent School District, Texas, USA",0.6968907699820934,1.0
"Bossier Parish School District, Louisiana, USA",0.6950823996772292,1.0
"College Station Independent School District, Texas, USA",0.9898722585251525,1.0
"Clarke County School District, Georgia, USA",0.9509757443402165,1.0
