longname,Silent % [StatCan],Boomer % [StatCan],Gen X % [StatCan],Millennial % [StatCan],Gen Z % [StatCan],Gen Alpha % [StatCan]
"Courtenay CMA, BC, Canada",0.12572014837029433,0.324283797648173,0.17125720148370285,0.15807749980269914,0.1328229816115539,0.08783837108357677
"Cornwall CMA, ON, Canada",0.11088779204580444,0.2959397485377675,0.16489884099671756,0.1726478722463837,0.15379646188772508,0.10182928428560188
"Saint-Hyacinthe CMA, QC, Canada",0.12132077044942886,0.2783290252647376,0.1761861085633286,0.17109980822146248,0.157341782706579,0.09572250479446348
"Brandon CMA, MB, Canada",0.07278917824606611,0.20217171252415578,0.18339928223060661,0.22020796908070264,0.19821477868777038,0.12321707923069841
"Rimouski CMA, QC, Canada",0.09986291893812808,0.31200136367590253,0.1689534333998582,0.17220056652803686,0.15266369910748984,0.0943180183505846
"Victoriaville CMA, QC, Canada",0.12406548689315779,0.28636320620800615,0.17128797198826531,0.15974259487082423,0.15529478565344945,0.10324595438629702
"Joliette CMA, QC, Canada",0.13830694852592662,0.2989856858469998,0.1608683287515404,0.16646127595032706,0.14247795999620821,0.09289980092899801
"Shawinigan CMA, QC, Canada",0.13779210314262677,0.3577759871071713,0.1559226430298149,0.14524576954069307,0.1191579371474618,0.084105560032232
"Duncan CMA, BC, Canada",0.11422550052687047,0.32497365648050597,0.16838777660695467,0.15405690200210742,0.14467860906217062,0.09367755532139099
"Penticton CMA, BC, Canada",0.14505912162162174,0.3387880067567567,0.1655405405405405,0.1521326013513514,0.12563344594594597,0.07284628378378383
"Woodstock CMA, ON, Canada",0.08921139686266137,0.24031586810372407,0.1797033400917726,0.2083022089424822,0.1627361007363142,0.11973108526304556
"Truro CMA, NS, Canada",0.10510413294485801,0.29750728391065046,0.1831229092478688,0.16661271177295783,0.15636128196827462,0.09129168015539023
"Prince Albert CMA, SK, Canada",0.07130144605116777,0.21523915461624046,0.16785317018909807,0.20066740823136892,0.20956618464961096,0.1353726362625138
"Salaberry-de-Valleyfield CMA, QC, Canada",0.1087411893762094,0.30447985835751123,0.16762335570206321,0.1850071957771147,0.13511551718040066,0.09903288360670076
"Rouyn-Noranda CMA, QC, Canada",0.08008479566599933,0.2696973265810859,0.17536214815687187,0.19809209751501597,0.16252502649864564,0.11423860558238123
"Sorel-Tracy CMA, QC, Canada",0.13026911169326025,0.3412717313646107,0.17075494165277427,0.1481305072636342,0.12860204810669223,0.08097165991902835
"Timmins CMA, ON, Canada",0.07301664439314787,0.2618150892965619,0.18867695298262668,0.19584497630907538,0.17749969627019796,0.1031466407483902
"Campbell River CMA, BC, Canada",0.10006138735420499,0.32166973603437704,0.176304481276857,0.16586863106200128,0.14450583179864931,0.09158993247391041
